,artist,name,track_id
0,Arctic Monkeys,505,0BxE4FqsDD1Ot4YuBXwAPp
1,For Revenge,Serana,0PtJbtW50jcvvswNPn3QGd
2,Neck Deep,December,4oVdhvxZrKQTM9ZsUIZa3S
3,The Jansen,Langit Tak Seharusnya Biru,1zWkI1wgl2H3jfLwXIGyMK
4,The Jansen,Kau Pemeran Utama Di Sebuah Opera,6P3sYc1pBoSFmV5amOXykw
5,Last Child,Duka,5MIpcd16T59wFeqAChSYwC
6,My Chemical Romance,Disenchanted,6T7MAQCekVb3UnCykjX3BP
7,Reality Club,Anything You Want,2QB8FwOszur18Ai7t2XnNi
8,My Chemical Romance,Cancer,0GgN4MhR5GKn5IcKN0e0rG
9,Arctic Monkeys,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n
10,One Direction,Right Now,1dQQ2QlnvXUehsRUrukKmf
11,Oasis,Don't Look Back in Anger,0U850y9NvDI79dE89JVv4G
12,Hindia,Evaluasi,2dIBMHByUGcNPzmYBJ6OAj
13,Rebellion Rose,"Aku, Kamu Dan Samudra",7lhy2horHMmvuO77iQEqMK
14,FUR,If You Know That I'm Lonely,5gCTgcvFfs0d9ShWLY2S1V
15,Glenn Fredly,Januari,3h3BXv7Iq5CTTiN9CHgkNe
16,For Revenge,Jakarta Hari Ini,5hkQFKFRrr5gKdbbxsg6Lj
17,Bring Me The Horizon,Drown,6o39Ln9118FKTMbM4BvcEy
18,The Jansen,Mereguk Anti Depresan Lagi,3tfe3JifqPcOYE52NVBcmN
19,Radiohead,Creep,70LcF31zb1H0PyJoS1Sx1r
20,Rainbow,Since You Been Gone,6xq5DxZWGgdStAxGAil0yw
21,Bring Me The Horizon,LosT,5BgnL6gHauuvxe4Ok6W1aC
22,Skarbu,Persija OT,44roglbuwLofJeBrivEvA7
23,Alesana,Apology - Acoustic,5ldT1FVrJCn6qWG0fVJ1QW
24,Reality Club,Am I Bothering You?,4XEJR0jb29elGda86cL0IK
25,Hindia,Cincin,7J0isBrUxhIYZVdrBOOlIh
26,Avenged Sevenfold,Gunslinger,7MOQrtXMNImAq5TrPZzC0w
27,Green Day,Wake Me up When September Ends,3ZffCQKLFLUvYM59XKLbVm
28,I Prevail,Bow Down,5qD3Qv8Wu3r5uRD0DahcZy
29,Led Zeppelin,Black Dog - Remaster,3qT4bUD1MaWpGrTwcvguhb
30,Bruno Mars,It Will Rain,0M3HkE321xpCbCYqVKzr1q
31,blink-182,ONE MORE TIME,5VEnzMXc8ocZko4M4TqnR2
32,FUR,Walking Back Home,7lu5yyLdgRTMTnYw8yCWvM
33,Nidji,Hapus Aku,6MPo0FYKvO0AewUJoL9GUu
34,Bring Me The Horizon,DArkSide,19vHgVS1aukRiQWhTqfKnE
35,JKT48,Sayonara Crawl,1Vv8yDxhgP2rXEsuTT6FyF
36,Guns N' Roses,November Rain,3YRCqOhFifThpSRFJ1VWFM
37,Hindia,"Berdansalah, Karir Ini Tak Ada Artinya",2SmKwCCSiUTjtR8I8rv6MS
38,Iwan Fals,Jendela Kelas 1,7irxNZwo9B1n0tePyLDekH
39,Misfits,Last Caress - C.I. Recording 1978,5ALCHMO9Fmvn1Ly18Q3apL
40,CORPSE,CODE MISTAKE,39iRz0h1eZOyXzch8tKQit
41,.Feast,Peradaban,4YxEeCKhUl1DawPzsxCPbq
42,Hindia,Forgot Password,1XabvPK1VQEH4YqzDovs46
43,The Beatles,Now And Then,7eT64Q8X2RsgMm4lqtWK4n
44,Freddie Mercury,Love Me Like There's No Tomorrow - Special Edition,0otmxJEwq9JI1CidrcYEq4
45,MahadewA,Immortal Love Song,7fVE7nYoeQl4Eciml52QHt
46,JKT48,Seventeen,7q4zdBAgLFETdnslE7Z0Eq
47,YUNGBLUD,Happier (feat. Oli Sykes of Bring Me The Horizon),0UNDrAptMY5glGrcdr93Kx
48,Bring Me The Horizon,AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),5viZ8CLipufc1Q1NXpMRNN
49,Arctic Monkeys,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst
50,Bring Me The Horizon,sTraNgeRs,5fpq1wF8xa5tSSlcKHdmGQ
51,Fourtwnty,Hitam Putih,0O6g2QFUhuLqRzGqhyzrIu
52,Hindia,Secukupnya,5drW6PGRxkE6MxttzVLNk5
53,JKT48,Rapsodi,2X62SjtuwVQiGiZvZZ9Ztr
54,Neck Deep,Wish You Were Here,4Ssi6tKwrTHi5qvDndrZRP
55,Perunggu,"Kalibata, 2012",0EQBfsLlv47ie3p0fE1QEs
56,Sex Pistols,God Save The Queen,2mHchPRtQWet3iIS3jANr1
57,Ghost,Mary On A Cross,2HZLXBOnaSRhXStMLrq9fD
58,Arctic Monkeys,Body Paint,7A7FsIDnBMnz1PAnSOxUdh
59,The Smiths,There Is a Light That Never Goes Out - 2011 Remaster,0WQiDwKJclirSYG9v5tayI
60,The Goo Goo Dolls,Iris,6Qyc6fS4DsZjB2mRW9DsQs
61,The Jansen,Ku Bukan Mesin Lotremu,1vtHa69RQqnroGsWQuyp05
62,Bad Omens,Just Pretend,1H4Y9uW4N0LsxJUz0VnaPJ
63,Zigaz,Sahabat Jadi Cinta,6cI9100OlO9bv0U2fGwBUN
64,Falling In Reverse,Watch The World Burn,4CiVz4bw7X1zjCaJ5ZwxUS
65,Måneskin,Beggin',3Wrjm47oTz2sjIgck11l5e
